track_id,item_id,cluster_5f
000xQL6tZNLJzIrtIgxqSl,0,0
003eoIwxETJujVWmNFMoZy,1,1
003vvx7Niy0yvhvHt4a68B,2,1
00B7TZ0Xawar6NZ00JFomN,3,0
00Blm7zeNqgYLPtW6zg8cj,4,0
00ETaeHUQ6lops3oWU1Wrt,5,1
00ZKeP47bZtswtANkvxz2j,6,2
00gpGR84M27moP7AFuqHIx,7,1
00imgaPlYRrMGn9o83hfmk,8,2
00ko9WaS4jOX1kEk3gvHjf,9,0
00lNx0OcTJrS3MKHcB80HY,10,0
00syWkRGIVQvYsg2OwfBUw,11,1
017PF4Q3l4DBUiWoXk4OWT,12,1
01DOm09B2AbiTARAbXVI6g,13,0
01K4zKU104LyJ8gMb7227B,14,2
01Qb6dN5suQNu87VJ1mIpf,15,1
01TnVDiet1DFTsyWKUKovl,16,1
01dmH2IPkrLNWIMPNXlreE,17,0
01qFKNWq73UfEslI0GvumE,18,0
01uk7IzZyFNfQTDBXxx6NB,19,1
01vv2AjxgP4uUyb8waYO5Y,20,1
01z2fBGB8Hl3Jd3zXe4IXR,21,2
021lWIHJrURZrmvYQ1xcM8,22,0
0247StOpd3AkeBQzANX4Zf,23,1
02FaKXXL7KUtRc7K0k54tL,24,0
02LZ1fGJE8fB56yTlCVMEV,25,1
02MWAaffLxlfxAUY7c5dvx,26,2
02RCbjb9czvQKNGBmEmWob,27,1
02VBYrHfVwfEWXk5DXyf0T,28,0
02WacdrRpm4zlP8H7X6bnQ,29,2
02itaCXOdC54J0ISjqqFAp,30,0
02kDW379Yfd5PzW5A6vuGt,31,0
02wk5BttM0QL38ERjLPQJB,32,2
0314PeD1sQNonfVWix3B2K,33,0
03B2SfXuvDh1m9F4tqrX07,34,2
03NqHNdG3Ur6kciQWK6e8V,35,0
03T4ttRCiLXST6MZjeMwmR,36,1
03eJ2DclFWXYU8GWgANdmZ,37,0
03fs6oV5JAlbytRYf3371S,38,0
03hqMhmCZiNKMSPmVabPLP,39,1
03iCbZaM4OkRR4We6wIzvx,40,1
03mMSLEJCPoGJwQhHpN5y0,41,0
03rwnftfgpYVO6QDWOZcG6,42,2
03wOsqNRdFZAgwo708sjw2,43,2
03x2rVJRFUrvwlfxoHd9Mo,44,2
042Sl6Mn83JHyLEqdK7uI0,45,2
042x9bsUBWW2fJgJ6fUh61,46,1
044qU7kwVZaDwzWnRsmVVL,47,2
045ZeOHPIzhxxsm8bq5kyE,48,1
04CqLjewJiSAqM210vZAmT,49,1
04CyMEHliadfQWMUJb1w99,50,0
04DwTuZ2VBdJCCC5TROn7L,51,1
04MLEeAMuV9IlHEsD8vF6A,52,1
04S1pkp1VaIqjg8zZqknR5,53,1
04WxWo7XeVyx22xEsrWRUb,54,1
04ZTP5KsCypmtCmQg5tH9R,55,1
04ndZkbKGthTgYSv3xS7en,56,0
04sN26COy28wTXYj3dMoiZ,57,2
053zWWZDziDJd3U94x8RuP,58,2
059bcIhyc2SBwm6sw2AZzd,59,0
05CwHjIk71RXVU40boRMnR,60,1
05GsNucq8Bngd9fnd4fRa0,61,1
05KOgYg8PGeJyyWBPi5ja8,62,1
05WVKTdZhlIMX4qqMLuo0f,63,1
05X6aMCQR09E6smUmw9qms,64,1
05Z7jet4VDNVgNQWcYHnrk,65,1
05ZXXyeZFhZtA6DAP3Aw7x,66,0
05aZ9sAU1YXndHv0FMi9iW,67,0
05bfbizlM5AX6Mf1RRyMho,68,0
05bnEv2dpFzmGVLGdjD9UP,69,2
05mAIVLkIWc2d1UBYZBCp8,70,0
05mDaV9Vb3wrzjF6OPZnhq,71,1
05rJdH2MRLJ3sQoEUO78qs,72,0
05t7JMip6JrLuSrMV5yYjX,73,1
05zd5Nv0e02ZqrlC8A2cwx,74,1
06FCvd7rrRcF3DdvWH5Isp,75,0
06Gyf2pFDVmN5K8XAawG96,76,1
06JvOZ39sK8D8SqiqfaxDU,77,1
06Qo2fYR2KS1F7bL338iVT,78,1
06qMRF18gwbOYYbnP2du6i,79,0
06s3QtMJVXw1AJX3UfvZG1,80,0
06scTb0zbkxYNgpAB3J9fN,81,0
073ILU1C3APNRGF66VhtyA,82,0
079Ey5uxL04AKPQgVQwx5h,83,0
07FkzikE6FuHIa8Ma7zJGc,84,1
07KXEDMj78x68D884wgVEm,85,0
07MDkzWARZaLEdKxo6yArG,86,1
07Oz5StQ7GRoygNLaXs2pd,87,0
07rmSXN6vNoquX1AsWd9pP,88,1
07s9NNOT0sZQp7TyolLLgu,89,1
083Qf6hn6sFL6xiOHlZUyn,90,1
086myS9r57YsLbJpU0TgK9,91,0
08F16baYbciTva9P4BvpiI,92,1
08LwMWf5Tcfsd752EPzFV0,93,1
08SB2OtZkaliju77WYEKxk,94,1
08XWh5c0BMyD1nKVxxl91z,95,0
08bNPGLD8AhKpnnERrAc6G,96,0
08fa9LFcFBTcilB3iq2e2A,97,2
08hm0V6cTsWDX62hW42sEv,98,1
0939D7aT18uBDS2MTjWzct,99,1
09CnYHiZ5jGT1wr1TXJ9Zt,100,0
09IOPhEh1OMe0HD9b36FJk,101,1
09IStsImFySgyp0pIQdqAc,102,1
09KlDlkOYuC5x6hOaM7vaP,103,1
09PGubKAMryhOWv1LHpCYz,104,0
09WAnxdBuebQopKhJT3oZS,105,1
09gysnJpfQ3ublBmJDfcEC,106,2
09mEdoA6zrmBPgTEN5qXmN,107,1
09oZ9eXQ2fo6YDrPzJqAoP,108,1
09ts3GnICqYEU5PkQCpJK3,109,1
09u787BYeYIGd2mFIJ505t,110,0
0A1JLUlkZkp2EFrosoNQi0,111,2
0A1hoCfMLkiAgvhWkkucJa,112,0
0A5gdlrpAuQqZ2iFgnqBFW,113,1
0AAMnNeIc6CdnfNU85GwCH,114,1
0AAVJIN4plafvmNKqRCltG,115,1
0ADG9OgdVTL7fgREP75BrZ,116,1
0AGS6ZRgzobrazmCi6pYMe,117,0
0AUvWawuP0ibk4SQ3sIZjk,118,0
0AYt6NMyyLd0rLuvr0UkMH,119,2
0AaV4MJrgmLV3XhoiWXjjb,120,2
0AhJag7VI8uFf3mJFsTwvf,121,1
0AluA5RNsa4Cx6XRhf2hWZ,122,2
0At2qAoaVjIwWNAqrscXli,123,1
0AtP8EkGPn6SwxKDaUuXec,124,0
0B3FovCVaGKS5w1FTidEUP,125,0
0B48113ZG9UfkWWt7qD9xX,126,1
0B6g379TMw0nYGXA7y5xHz,127,1
0B7wvvmu9EISAwZnOpjhNI,128,2
0B8B8cVRFIG1yznoQe7c9s,129,0
0BFQC00Y58JtjMyTXOJazO,130,2
0BGwAKW4u8kWOhWFflZxfl,131,1
0Be7sopyKMv8Y8npsUkax2,132,0
0BnTBAGmr9FtYwkZrwKhwS,133,0
0CBFOvHlyqy30Q5tbyNHfQ,134,1
0CYTGMBYkwUxrj1MWDLrC5,135,0
0CZ8lquoTX2Dkg7Ak2inwA,136,2
0CcQNd8CINkwQfe1RDtGV6,137,0
0CfmNX2TXk7yoJqHJiixnp,138,1
0Clb9aiXWa0dvVff5aN4VN,139,0
0CokSRCu5hZgPxcZBaEzVE,140,1
0CrcwVLUe8wzLUIXgjXVZJ,141,1
0CsR9Y9SnC6ZWmekmVqSHz,142,0
0D8ZpOXVjapLXrjz5VfZSD,143,1
0DGTcMqvVR7fmBXgiG6jz4,144,0
0DJBgBiYeSn6n1AXAkFVE8,145,1
0DMVrlMUn01M0IcpDbwgu7,146,0
0DWdj2oZMBFSzRsi2Cvfzf,147,2
0DZJACISivjWjscIp5Kg1q,148,1
0DiDStADDVh3SvAsoJAFMk,149,0
0Dn40gxVCMo5TkgS8Ik18Q,150,1
0Dq49j3dELbttQVUJbtn0c,151,0
0DuWDLjriRPjDRoPgaCslY,152,2
0E0DRHf5PfMeor0ZCwB3oT,153,2
0E4Y1XIbs8GrAT1YqVy6dq,154,2
0E6PsO3ymCfUh7pJQjBgkj,155,1
0E9ZjEAyAwOXZ7wJC0PD33,156,1
0EPxmvsG1BY5td4aTOkWBF,157,0
0EQMrxdeiBhry9JCxskko3,158,1
0EhpEsp4L0oRGM0vmeaN5e,159,1
0EtuSDTRJYUwlPf4y6coIz,160,0
0F7FA14euOIX8KcbEturGH,161,0
0FA4wrjDJvJTTU8AepZTup,162,1
0FDzzruyVECATHXKHFs9eJ,163,1
0FFsgUoFibYISzMxuGS61W,164,1
0FZ4Dmg8jJJAPJnvBIzD9z,165,0
0FfqyjhB6Kspvit1oOo7ax,166,2
0FktnzDqjClqU6iqOZVEs2,167,0
0Fl4eWzVaMUOdXcOrj6F1q,168,0
0FlfN5cbUUpIHCRH8X1M44,169,1
0FlwhvrncUKrEAhzunmCKm,170,2
0Fpen1PTuEnCmOJtUU9Iud,171,0
0FqBNLXlTNimxmVRdDMj6b,172,2
0FqVtQxRD3HsPltldG5v5M,173,0
0Fs9cdPDhptWEDJmiCbkEW,174,1
0FuTx2s3YH1ppmtiM6l0zI,175,1
0Fv5N0cHBsl4bzCbollCAS,176,1
0G149jkGWKwrPXUGkEDgWM,177,1
0GAyuCo975IHGxxiLKDufB,178,2
0GJwUAlBMJTbY4VE7iE761,179,0
0GMiRrUnQuoGddKMsxGPIZ,180,1
0GQ5bFTVFFKpwNPc7KwQnB,181,1
0GVuLQtPXFaL18ijEOqoAa,182,2
0GjEhVFGZW8afUYGChu3Rr,183,0
0Gl5s8IhMmQE5YQwM8Qx1J,184,2
0GxQ1A5L9xnMOytbP6eKBG,185,1
0GzuHFG4Ql6DoyxFRnIk3F,186,0
0H1Had94fszD13qsFsP1U5,187,1
0H4ugk6rhnXmTl47ayy9O5,188,1
0HC6S4VpCGAZvyxTdrMRIQ,189,1
0HD8mbiPjp3o94X3EaZp0o,190,0
0HEmnAUT8PHznIAAmVXqFJ,191,0
0HEytGQM3bG1vKxER7IgVK,192,2
0HUTL8i4y4MiGCPId7M7wb,193,1
0HVv5bEOiI9a0QfgcASXpX,194,0
0HYAsQwJIO6FLqpyTeD3l6,195,1
0HZgYFimoJG9Ijy8InUWcV,196,2
0HqZX76SFLDz2aW8aiqi7G,197,0
0I20rLT2MJDhcF96AjbNYo,198,0
0IGUXY4JbK18bu9oD4mPIm,199,0
0Ie5uiv54KgCr7P4sYDTHl,200,2
0IpnZchq8ek2A6pGEP2Qb1,201,1
0IqKeD8ZSP72KbGYyzEcAs,202,2
0IuVhCflrQPMGRrOyoY5RW,203,0
0J9g1MMJDhyvOb3NWckHMm,204,0
0JP9xo3adEtGSdUEISiszL,205,0
0JXXNGljqupsJaZsgSbMZV,206,1
0JcNysfWVWaMS7R6vzGB2k,207,0
0JdkDCdrhMOaeXjIZdeBXN,208,0
0JiVRyTJcJnmlwCZ854K4p,209,1
0Jlcvv8IykzHaSmj49uNW8,210,2
0JmnkIqdlnUzPaf8sqBRs3,211,0
0JoWBcL61YWLXM5vW0YTHO,212,1
0JzG1wJuB4v9UPkSE7LMXi,213,2
0KAzP1Rbp0Vz5pw8i1KDDI,214,2
0KCSJzsQVxkloxoT7dyrqV,215,0
0KKkJNfGyhkQ5aFogxQAPU,216,0
0Kdj7nwaYQmvhxnqZaIQuW,217,0
0KkIkfsLEJbrcIhYsCL7L5,218,0
0KoiMHhqKLoL4xM54rcWYY,219,0
0L7loeTIg6akW84aEQZpCT,220,0
