id,artist_names,track_name,source,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,duration_ms,weeks_on_chart,streams,cover_url,cover_url_md,album_name,release_date,spotify_url,preview_url,popularity
000xQL6tZNLJzIrtIgxqSl,"ZAYN, PARTYNEXTDOOR",Still Got Time (feat. PARTYNEXTDOOR),RCA Records Label,G,Major,4 beats,0.748,0.627,0.0639,0.131,0.0,0.0852,0.524,-6.029,120.963,188491,17,107527761,https://i.scdn.co/image/ab67616d0000b273eadac26cea27137ae556e21e,https://i.scdn.co/image/ab67616d00001e02eadac26cea27137ae556e21e,Still Got Time (feat. PARTYNEXTDOOR),2017-03-23,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl,,53.0
003eoIwxETJujVWmNFMoZy,Alessia Cara,Growing Pains,Def Jam Recordings,C#/Db,Minor,4 beats,0.353,0.755,0.733,0.0822,0.0,0.39,0.437,-6.276,191.153,193680,2,9944865,https://i.scdn.co/image/ab67616d0000b27328f6d554b82dd6910c1df0b1,https://i.scdn.co/image/ab67616d00001e0228f6d554b82dd6910c1df0b1,Growing Pains,2018-06-15,https://open.spotify.com/track/003eoIwxETJujVWmNFMoZy,,41.0
003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,C#/Db,Major,4 beats,0.352,0.911,0.0747,0.00121,0.0,0.0995,0.236,-5.23,148.033,222973,125,512388123,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d,https://i.scdn.co/image/ab67616d00001e02ccdddd46119a4ff53eaf1f5d,Hot Fuss,2004,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,,91.0
00B7TZ0Xawar6NZ00JFomN,"Cardi B, Chance the Rapper",Best Life (feat. Chance The Rapper),Atlantic/KSR,A,Major,4 beats,0.62,0.625,0.553,0.287,0.0,0.314,0.665,-7.438,167.911,284856,2,11985346,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab,https://i.scdn.co/image/ab67616d00001e02a0caffda54afd0a65995bbab,Invasion of Privacy,2018-04-06,https://open.spotify.com/track/00B7TZ0Xawar6NZ00JFomN,,50.0
00Blm7zeNqgYLPtW6zg8cj,"Post Malone, The Weeknd",One Right Now (with The Weeknd),Republic Records,C#/Db,Major,4 beats,0.687,0.781,0.053,0.0361,0.0,0.0755,0.688,-4.806,97.014,193507,30,301860377,https://i.scdn.co/image/ab67616d0000b2734158fe41143182ec16ead070,https://i.scdn.co/image/ab67616d00001e024158fe41143182ec16ead070,One Right Now,2021-11-05,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj,,67.0
00EPIEnX1JFjff8sC6bccd,"Thalia, NATTI NATASHA",No Me Acuerdo,Sony Music Latin,G,Minor,4 beats,0.836,0.799,0.0873,0.187,0.0,0.092,0.772,-4.247,94.033,217653,16,98123727,https://i.scdn.co/image/ab67616d0000b27332704db02152ad74c0a795a9,https://i.scdn.co/image/ab67616d00001e0232704db02152ad74c0a795a9,No Me Acuerdo,2018-06-01,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd,,0.0
00ETaeHUQ6lops3oWU1Wrt,"Kygo, Donna Summer",Hot Stuff,RCA Records Label,F,Major,4 beats,0.681,0.773,0.148,0.019,1.28e-06,0.11,0.429,-5.749,119.961,199008,1,4569978,https://i.scdn.co/image/ab67616d0000b273f6dc2264553ac992a0d4a0f4,https://i.scdn.co/image/ab67616d00001e02f6dc2264553ac992a0d4a0f4,Hot Stuff,2020-09-18,https://open.spotify.com/track/00ETaeHUQ6lops3oWU1Wrt,,62.0
00ZKeP47bZtswtANkvxz2j,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",Baile do Bruxo,Tropa Do Bruxo,G,Minor,5 beats,0.734,0.228,0.53,0.889,0.00642,0.102,0.522,-4.731,162.524,221538,3,27916960,https://i.scdn.co/image/ab67616d0000b2736ff8708ab0f6ee2c3db525e2,https://i.scdn.co/image/ab67616d00001e026ff8708ab0f6ee2c3db525e2,Baile do Bruxo,2023-09-29,https://open.spotify.com/track/00ZKeP47bZtswtANkvxz2j,,60.0
00gpGR84M27moP7AFuqHIx,YBN Nahmir,Bounce Out With That,2018,G#/Ab,Major,4 beats,0.857,0.56,0.173,0.0426,0.0,0.153,0.482,-8.278,94.949,91011,6,4913180,https://i.scdn.co/image/ab67616d0000b27335446fed44a2fb6e9e33ac87,https://i.scdn.co/image/ab67616d00001e0235446fed44a2fb6e9e33ac87,Streets Don't Lie 2,2018-03-13,https://open.spotify.com/track/00gpGR84M27moP7AFuqHIx,,0.0
00imgaPlYRrMGn9o83hfmk,Brent Faiyaz,LOOSE CHANGE,"Lost Kids LLC., Marketed by Venice / Stem",C#/Db,Minor,4 beats,0.574,0.369,0.0814,0.753,0.0,0.147,0.44,-8.931,84.975,226011,1,5854629,https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a,https://i.scdn.co/image/ab67616d00001e0269f63a842ea91ca7c522593a,WASTELAND,2022-07-08,https://open.spotify.com/track/00imgaPlYRrMGn9o83hfmk,,62.0
